ID,sentence,label
8965,No other cashier seemed all too eager to exercise some proper customer service and immediately take us!,negative
5936,An under regulated business model which is taking advantage of every single consumer.,negative
10655,"We don't have them, so we wanted to call a professional to spray to prevent any infestation issue (even though I had already spread diatomaceous earth around our baseboards, in our electrical outlets, and behind our light switches).",neutral
3328,"WOW, this place was so honest!",positive
9691,It's scarry out there when most people take  advantage of you.,negative
292,"The fried rice sounded so strange to have not only kimchi, but spam?",negative
3461,"It does n't really know or care about the characters , and uses them as markers for a series of preordained events .",negative
4161,I think I have died and gone to carne asada heaven.,positive
3387,"After getting seated (we were the only table in that section at the time), the server told us if we wanted a bottle of wine to pick any out and just bring it back to the table, and so we did.",neutral
10889,I would HIGHLY recommend anywhere else besides this place.,negative
2392,Thanks for the sample.,positive
4365,"I mean, it has a shower if you ride your bike!",positive
1318,Cashiers and coffee makers stand there & chat with each other when customers are standing waiting!,negative
7645,oh.em.gee.,neutral
3229,"About as enjoyable , I would imagine , as searching for a quarter in a giant pile of elephant feces ... positively dreadful .",negative
4148,"I came with a group of 6 and we barely finished what we ordered:

FALAFEL PLATTER (for 4) - We got about 20 nice crisps falafels that weren't too oily paired with some house-made hummus.",positive
5538,The person giving us tips was a little worse than what I wanted; respectful and friendly.,negative
8722,"Since I work close to here, I typically have a lot of the same crappy ass options for lunch that I get sick of.",negative
9301,"I wish I would have finished it, but I ended up taking it to the hotel but didn't eat the rest because we didn't have a microwave oven in the room.",neutral
5013,No idea why this place doesn't have better reviews.,positive
2751,Experiencing high heat is fun for only a few people.,negative
5019,So our party got all dressed up and showed up to Drais where the club was actually closed.,negative
7767,"Of course there was an ""issue with my coupon"" as I was told that my car (a 7 yr old Mazda) would only accept the ""Full synthetic blend"" which fine I'm okay with.",negative
6657,Don't be fooled by the spaghetti and meatballs - disappointing!,negative
7482,"Young Everlyn Sampi , as the courageous Molly Craig , simply radiates star-power potential in this remarkable and memorable film .",positive
10922,"Last time I dined at the Ridge Road location, a friend loved her tortilla soup.",positive
3540,They told me that I needed to get my rack and pinion replaced to the tune of $1600.,positive
6523,I'm not a wing person so I don't know first hand how their wings are.,negative
8727,The Sichuan Peppers are way too off balance.,negative
837,"I went with the smelly, pungent fish tacos, since that's what the waiter recommended.",negative
8581,thought it was better than sitting in dusk inside.,neutral
10031,"Today, my nephews were visiting and love cowboys.",positive
4962,"If you are drying cleaning Pea coats or wool, it is a lot faster.",neutral
6518,They have two lines they put you in... one for show vouchers and one for walk-in customers.,neutral
7801,They advertise as feeding four people but 7 of us could barely finish it!!,positive
4345,Some items are never restocked like Jeffree cosmetics for example.,negative
7933,"I'm vegan and had heard about Hussong's from a friend, but I did not expect to see an entire vegan menu!",positive
9614,I am not sure how well a larger party would be accommodated in the space.,negative
10911,Now if only they would replace the swivel bar stools that are bolted to the ground and make it challenging for some (especially smaller women) to dine while sitting at the bar or for couples to sit as close to one another as they'd prefer.,negative
6113,"If I were on death row and was granted a last meal, I'd get the marinated goat cheese and 10,000 loaves of their baguette.",positive
157,"My wife has to eat gluten-free, and our waiter was very helpful (and friendly)... she ended up with a huge pile of food... basically a chicken baja bowl without the bowl.",positive
10567,We ordered the shrimp appetizer and got the pretzels on a kitchen error as well.,negative
4521,The hostess rudely never came back to me to seat me outside.,negative
1441,Made an appointment at 6:00pm for 7:00pm.,neutral
6130,"I'm just disappointed I wasn't able to try everything on the menu but the next time I'm in Vegas, I will definitely return.",positive
9785,It's no fresh or whipped.,negative
8786,"The decor is very ""coffee shop"" like, it's clean and light,",positive
10949,"CONS
- Perhaps it was partly my fault, when I booked a limo, I was expecting a stretch limo.",negative
4731,"But seriously, it is a freaking $11 dim sum (if you get gold membership, you get 10% off).",negative
2947,"As a good old-fashioned adventure for kids , Spirit : Stallion of the Cimarron is a winner .",positive
1963,We made a reservation and were sat promptly.,positive
2483,Margaritas are $3.50 which isnt bas either!,positive
8203,"Overall, it was okay and value for money.",positive
2963,"My dining companions had good things to say about the chicken and cornbread, but to be honest I was in too much of a salmon/rib/prime rib haze to comprehend actual words.",positive
5529,The area is a little creepy.,negative
10864,Most of the time when you get food to go it's cold and just thrown together.,negative
8515,A big selling point here was the IHG Rewards and the photos of the hotel looked nice.,positive
9385,"Its premise is smart , but the execution is pretty weary .",negative
7971,"I don't gamble, but my friends were huge fans of their late night Bingo and almost everyone won a game there or at the slots.",positive
1543,"I don't recall the two young men's names who waited on our big party, but I did feel like they were doing us a favor by giving us the nominal service we got.",positive
5050,"There were a few empty tables here and there so, I went up to the host and asked if there was a table for four available. she said no. was disappointed",negative
9090,I have been to a lot of nail spas and felt very uncomfortable.,negative
2932,"Well, he went directly to his phone and started doing something, we couldn't tell what, but he utterly ignored the girl in front of him.",negative
2517,It's not a chain.,neutral
9921,I didn't tip 100% because I think it takes a different kind of person to rub down strangers feet.,negative
8685,I was starving and desperate.,negative
603,I wondered how much time did Bobby Flay actually spend in this restaurant?,neutral
2956,The lamb was a bit overcooked and on its own not incredibly flavorful.,negative
6791,I travel with a detailed (bilingual) card outlining all my allergies and always present it to the server before ordering my meal.,neutral
393,I'm hard to please when it comes to ramen.,neutral
10072,How could you not watch and wish you could do that stuff??,positive
2619,"I don't remember everything I ordered and inhaled except for the BBQ ""pork"" bun, and the veggie hargow, and the sticky rice.",positive
5155,All I'm going to do is hop around on the menu before I'm dizzy.,neutral
9761,"Ensemble movies , like soap operas , depend on empathy .",neutral
6213,I would suggest a reservation if you don't want to have a long wait.,negative
8974,I'm glad they didn't have the AYCE option.,neutral
5659,It's minor and I am not removing a star because of it.,positive
7046,This was the freaking bartender!!,neutral
3520,"There are so so many options for vegetarians AND meat eaters, and we have get to get a dish that we have not liked.",positive
8142,"Imagine -LRB- if possible -RRB- a Pasolini film without passion or politics , or an Almodovar movie without beauty or humor , and you have some idea of the glum , numb experience of watching O Fantasma .",negative
5610,We arrived at the Trump around 12:45 a.m. on a Friday night.,neutral
4716,"So time for the proposal, everything was printed up and printed out.",neutral
3023,Oftentimes it can get overcooked in soups and becomes tough.,negative
7037,I'd be a regular if this place was in the neighborhood.,positive
3527,"Thanks to this company, my trip ended horribly.",negative
7078,"That 's not vintage Spielberg and that , finally , is minimally satisfying .",neutral
401,Hoping the website gets updated soon.,neutral
6258,I liked the mashed potatoes and the not-so-crispy bacon.,positive
1631,They have been so great about getting my few requests taken care of and they are very nice.,positive
6884,Normally it is fine and I have even had some I didn't feel at all!,positive
7194,Very clean waiting room.,positive
5848,"I called and got scheduled in: 2 days later dropped it off, and picked it up later that day!",positive
6715,I've not had a mani or pedi here so can't speak to that.,neutral
4442,The business would get 5 stars in having the slowest workers and a lackluster atmosphere.,negative
10446,"Being Italian , most italian food is just ""ok"".",negative
8620,The show was held in the grand ballroom and they actually had quite a few people holding tickets.,positive
3003,"I suggest you being your own blanket and pillows, anything to make you feel more comfortable.",negative
9904,It's that 'i'm breaking my diet' for food.,neutral
9783,I went here before the chili peppers concert.,neutral
10558,And that it constantly changes.,neutral
5183,I had rice and salad while my wife had Greek fries and salad and we ordered the red pepper hummus.,neutral
2067,"If you're a french food fanatic, and haven't been to Paris 66... You're missing out.",positive
10834,I spent the entire day in my hotel room in bed throwing up every 10 minutes.,negative
1599,Overall service could only get better from this visit...I hope!,negative
4001,The manager of the MGM graciously offered us free room service because we were so patient.,positive
1385,PS- I got the Almond Brûlée to go because I was sooo stuffed since I've have bariatric surgery (the sleeve).,neutral
9704,Works better in the conception than it does in the execution ... winds up seeming just a little too clever .,negative
7924,I've been taking my Jetta to the dealership on camelback for years and have never had a problem.,positive
1405,But I'd definitely come back for more food when my Vancouver cravings kick in. It was so delicious.,positive
809,"You feel good , you feel sad , you feel pissed off , but in the end , you feel alive - which is what they did .",positive
2029,"About 1 month ago,  one of my little ones needed medical attention,  and the soonest I could get in would have been a week later!",negative
10809,"Now, unlike Mary T's experience, Joe was prompt on returning my text, and answering my questions.",positive
10214,He ensured that he will take care of it.,neutral
10892,I was going to pay and leave but they stopped to see how it was and that was going the extra mile as far as customer service is concerned.,positive
8589,The staff is super nice.,positive
1702,"We were pleasantly surprised by the food, friendly bartender, and a nice cold beer. loved it",positive
9642,You got it.,positive
8315,We received our restaurant week appetizer in a decent amount of time.,positive
10972,"Although fairly involving as far as it goes , the film does n't end up having much that is fresh to say about growing up Catholic or , really , anything .",negative
4907,"For vegans, make sure that you say ""vegan"" with every thing that you order, and make sure you get blowpops instead of a caramel lollipop.",neutral
6045,Dessert came and I wish I had skipped everything else.,positive
9084,"My Girlfriend Audrey, her son and 2 friends were on our way to Las Vegas in the BMW and got a low tire warning on our dashboard around 6:10pm.",neutral
3914,Disgusting and RUDE!,negative
1880,The script by Vincent R. Nebrida ... tries to cram too many ingredients into one small pot .,negative
10530,"Things went okay, and they were looking a lot less botox-chick-with-one-emotion, but they weren't brilliant.",negative
7316,We sat on the patio and were greeted pretty quickly and given menus.,positive
9529,Even the trash cans were being wipes down between taking orders.,positive
6794,upsell upsell upsell.,negative
2287,Draft beer is served in a plastic cup and it's room temperature.,neutral
10905,Food coma time.,neutral
10681,The wait was quite a bit long for their lunch time rush.,negative
5948,"Even if you 're an Elvis person , you wo n't find anything to get excited about on this DVD .",negative
6877,They have a pretty big menu and lots of options. It was great.,positive
10215,We assumed this was route.,neutral
4978,"Explosions , jokes , and sexual innuendoes abound .",neutral
1046,The service is hilariously awful most of the time.,negative
6044,"The owners are from Guangdong , China.",neutral
4381,"I tell them the whole story, they go back to see if the added dye from Brake Masters uncovered any issues but call me again with the good news that my car was fine, they fixed the coolant problem and my compressor works perfectly.",positive
9593,"Otherwise, you could visit Han Kabob, Map of Thailand, or Koko Bakery next door while waiting.",neutral
1568,As soon as we entered the restaurant we noticed a sign that said please wait to be seated.,neutral
462,It seemed like it was opening day but they've been open for a year!,neutral
743,Casual atmosphere.,neutral
222,this is the not a best place to work out,negative
10289,"On my first visit, the boba was warm, melting the ice in my drink and watering down the taste.",negative
4974,A nice girls night out or date spot. hard to choose,positive
2485,A solid piece of journalistic work that draws a picture of a man for whom political expedience became a deadly foreign policy .,neutral
625,"Heck, one of our compatriates was trying to add salsa to it to add a little more flavor to it.",neutral
5882,They even made a roll that used to be on their menu but hadn't been for a long time!,positive
7803,Anyway I called customer service and got a refund and shortly after I received the sweetest voicemail from Mai telling me how sorry she was and how she wanted to fix it.,positive
2177,"Luckily my, cat-like reflexes allowed me to duck in time.",neutral
3708,Rice never clearly defines his characters or gives us a reason to care about them .,negative
4867,The interview went good but i was late.,positive
5938,Within 15 minutes and I received both an e-mail and phone call.,positive
8997,I will come back soon.,neutral
10707,I haven't been here in about 2 years and decided to go last night.,neutral
8148,On her way home I asked her to come and trim my dog's nails.,neutral
353,"So we ended up trading in a gas-guzzler on two leases, a Tiguan and a CC.",neutral
4084,"The heedless impetuousness of youth is on full , irritating display in -LRB- this -RRB- meandering and pointless French coming-of-age import from writer-director Anne-Sophie Birot .",negative
456,Disappointing.,negative
3315,"Others , more attuned to the anarchist maxim that ` the urge to destroy is also a creative urge ' , or more willing to see with their own eyes , will find Morrison 's iconoclastic uses of technology to be liberating .",positive
6964,The first time I went here I got my oil changed.,neutral
239,Cant wait to try something else.,positive
3148,"Bz also definitely brought all the food late, and at one time, including appetizers and meal.",negative
6595,I am still waiting on a pair I took somewhere else a week ago for hemming!,negative
5210,The angel hair pasta with baby clams was great if you like the scent of a swamp in your nose,negative
7894,He came over to the table to defuse the situation and the bad experience from his employee.,negative
2595,So many of us went and asked for additional  stairclimbers.,neutral
5506,I had a burger with guacamole.,neutral
1018,I died and went to pig heaven.,positive
8066,We had my 3 month old daughter with us in her stroller.,neutral
9609,The only complaints (if any) would be the following: 1) There was no music.,negative
1760,I just couldn't finish the whole bowl,neutral
5639,"More often than not, the server will check with the chef before I order and I am presented with options.",positive
9674,The manager stopped by our table twice to check on us.,positive
9345,I will be coming back soon.,positive
1103,For a full set and a pedi!!),positive
9044,This my 1st time trying this place I will be back again real soon.,positive
4049,"Through the facebook photo captions, I saw that they offer Happy Hour from 4-6PM, Monday-Friday.",neutral
2802,the best cat food in tempe!,positive
3857,The service was top notch comparing to some not good places!,positive
6992,Using my insurance would have saved me around $100 to $150.,neutral
10092,We wanted to spend a fun time together both getting pedicures.,positive
10166,Ive only been here twice and my first experience was decent.,positive
10368,"I had half on my face flaky dry after perioral dermatitis I battled for 1 year , now it looks even complicity.",positive
4755,It is clean and the furniture is all IKEA stuff.,positive
4832,"While the now 72-year-old Robert Evans been slowed down by a stroke , he has at least one more story to tell : his own .",positive
8879,The dinner came with a naan bread and a salad too!,positive
9266,Despite modest aspirations its occasional charms are not to be dismissed .,positive
8138,I scheduled them on the $59 for four rooms coupon.,neutral
1034,The restaurant does not offer a separate gluten free menu nor does it designate any menu items as gluten free.,negative
10814,The buyers of our home we sold hired a different company and that company sent out two inspectors to our home of the same size.,neutral
4237,"Simon's has been open for less than two months, but I predict it will be like a beehive very soon.",positive
3458,More Gambling.,neutral
10650,"If you're into cocktails, order the Geraldine or Shelby.",positive
906,I hope they will find an identity.,neutral
6706,We waited for 15 long minutes and then ended up leaving.,negative
7579,A resounding 5-star rating out of 10.,negative
6920,Be sure to bring CASH!,neutral
9239,I look forward to seeing the new ones when I come in :) I love it so much.,positive
7044,The lobby was big and spacious.,positive
7130,"We ordered some garlic bread, 5 entrees w/salad and some drinks.",neutral
2286,"Go to Joe's Real BBQ in Gilbert, good food and good service",positive
10252,(The rest of the sushi was fine.),positive
4367,Just talked to my 70 year old mother. She is doing great.,positive
10902,I don't know any other coffee shop that does this.,positive
7411,dont eat it if youre on a diet though!!,positive
10219,"We never used the SUV car service which is free for guests, preferred to walk everywhere.",neutral
